"","Locations","freq"
"27","AL",20
"40","AZ",52
"41","AR",2
"84","CA",324
"125","CO",28
"126","CT",15
"146","DE",7
"178","FL",94
"190","GA",45
"232","ID",4
"233","IL",42
"234","IN",24
"235","IA",10
"248","KS",10
"250","KY",31
"274","LA",18
"288","MD",31
"289","MA",29
"302","MI",31
"308","MN",24
"309","MS",4
"310","MO",46
"318","MT",2
"330","NE",10
"332","NV",26
"336","NJ",32
"337","NM",7
"339","NY",356
"343","NC",19
"344","ND",2
"351","OH",61
"352","OK",32
"361","OR",34
"374","PA",62
"403","RI",1
"440","SC",13
"442","SD",6
"463","TN",32
"465","TX",181
"483","UT",13
"489","VA",33
"496","WA",135
"513","WV",1
"521","WI",28
"525","WY",7
"578","AK",5
"970","NH",7
"1171","VT",2
"1984","ME",3
